account_id,snapshot_date,usage_count_last_1m,usage_duration_last_1m,error_count_last_1m,active_features_last_1m,usage_count_last_3m,usage_duration_last_3m,error_count_last_3m,active_features_last_3m,usage_count_last_6m,usage_duration_last_6m,error_count_last_6m,active_features_last_6m,usage_trend_3m,usage_trend_pct_3m,error_trend_3m,active_features_drop_3m,label,account_age_days,months_since_first_usage,months_since_last_usage,avg_monthly_usage_6m,usage_mean_prev_6m,usage_std_prev_6m,usage_z_1m,duration_mean_prev_6m,duration_std_prev_6m,duration_z_1m,features_mean_prev_6m,features_z_1m,flag_zero_usage_1m,flag_usage_drop_40pct,flag_feature_collapse,flag_error_spike,flag_recent_inactivity,plan_tier,industry,country,seats,is_trial
A-00bed1,2023-12-31,28,5019,0,3,75,14849,1,7,120,26232,4,11,4.5,0.0592105263157894,-0.5,-4,1,47,11.933333333333334,0.0,20.0,,,,,,,,,0,1,0,0,0,Basic,Cybersecurity,US,28,True
A-00cac8,2023-10-31,15,2895,1,2,78,21719,4,9,135,42307,7,12,-16.5,-0.2088607594936709,-0.5,-7,0,46,10.1,0.0,22.5,,,,,,,,,0,1,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2023-11-30,67,26292,0,6,105,38340,4,10,164,54115,6,14,48.0,0.4528301886792453,-2.0,-4,0,76,11.1,0.0,27.333333333333332,,,,,,,,,0,0,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2023-12-31,15,2190,0,1,97,31377,1,9,168,50673,6,14,-26.0,-0.2653061224489796,-0.5,-8,0,107,12.133333333333333,0.0,28.0,41.0,36.76955262170047,-0.7071067619557789,14593.5,16544.177359421654,-0.7497199606716425,4.0,-3.0,0,1,1,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-01-31,59,15449,2,6,141,43931,2,12,219,65650,6,18,18.0,0.1267605633802817,2.0,-6,0,138,13.166666666666666,0.0,36.5,32.333333333333336,30.02221399786054,0.8882311537828571,10459.0,13716.310473301484,0.3638004556217309,3.0,3.0,0,0,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-02-29,21,2903,0,3,95,20542,2,9,200,58882,6,17,-16.0,-0.1666666666666666,-1.0,-6,0,167,14.133333333333333,0.0,33.333333333333336,39.0,27.9045993819418,-0.6450549283496828,11706.5,11473.874977530477,-0.767264765955077,3.75,-0.75,0,1,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-03-31,17,1955,0,1,97,20307,2,9,194,51684,3,16,-23.0,-0.2346938775510204,-1.0,-8,0,198,15.166666666666666,0.0,32.333333333333336,35.4,25.47155275989275,-0.7223744642139756,9945.8,10688.20273479129,-0.7476280341540891,3.6,-2.6,0,1,1,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-04-30,26,5187,3,2,64,10045,3,6,205,53976,5,16,7.0,0.1076923076923077,3.0,-4,0,228,16.166666666666668,0.0,34.166666666666664,32.333333333333336,23.98888631568099,-0.2640111335715592,8614.0,10101.103385274304,-0.33926986676096343,3.1666666666666665,-1.1666666666666665,0,0,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-05-31,44,9237,3,3,87,16379,6,6,182,36921,8,13,22.5,0.2556818181818182,1.5,-3,0,259,17.2,0.0,30.333333333333332,34.166666666666664,22.789617519095543,0.43148301605373224,8996.0,9882.54291161946,0.024386435974111113,3.1666666666666665,-0.16666666666666652,0,0,0,0,0,Enterprise,HealthTech,AU,8,True
A-00cac8,2024-06-30,25,6015,4,3,95,20439,10,8,192,40746,12,14,-10.0,-0.1041666666666666,1.0,-5,0,289,18.2,0.0,32.0,30.333333333333332,17.47760471765701,-0.30515240013368955,6153.5,5305.674311527235,-0.026104127739802547,2.6666666666666665,0.3333333333333335,0,1,0,0,0,Enterprise,HealthTech,AU,8,True
